date,index_symbol,eod_index_value,high,low,index_market_value,dividend_market_value
2025-06-13,NQX,4326.21,4367.69,4318.22,26722201112375.0,3277529210.0
2024-05-03,NQX,3578.16,3585.4,3556.96,21196916585106.0,328762858.0
2024-01-09,NQX,3335.74,3342.18,3302.75,19494682526384.0,394077911.0
2024-05-28,NQX,3773.89,3775.04,3751.19,22356409498871.0,
2024-09-05,NQX,3786.07,3820.47,3761.37,22440426922665.0,1483760998.0
2025-06-11,NQX,4372.16,4408.37,4355.05,27006042010011.0,162443941.0
2025-06-10,NQX,4388.38,4392.28,4345.47,27106252009599.0,218861854.0
2025-06-09,NQX,4359.57,4371.03,4345.85,26928294349538.0,1584028148.0
2025-03-26,NQX,3983.4,4054.08,3969.7,24421468236658.0,
2025-06-05,NQX,4309.49,4378.38,4294.55,26618916136515.0,1612276168.0
2022-06-17,NQX,2253.2,2271.59,2217.99,13310576939800.0,
2025-06-06,NQX,4352.36,4367.31,4339.34,26883725832199.0,3711515050.0
2022-09-19,NQX,2390.65,2391.36,2350.49,13999212207368.0,
2025-06-04,NQX,4344.38,4352.27,4321.47,26834471642063.0,2063617786.0
2022-06-29,NQX,2331.65,2342.04,2307.54,13718240139310.0,618534057.0
2025-06-03,NQX,4332.52,4343.19,4294.9,26761169106477.0,
2022-03-23,NQX,2889.51,2936.27,2889.21,17070695945750.0,
2020-11-10,NQX,2324.86,2352.39,2302.52,13117679718526.0,584304058.0
2020-09-28,NQX,2272.89,2273.81,2248.65,12792084742902.0,
2020-06-24,NQX,2000.54,2046.48,1988.65,11242837135780.0,
2025-06-02,NQX,4298.35,4300.07,4239.87,26550126898618.0,
2022-07-06,NQX,2370.52,2388.26,2345.47,13946901623191.0,
2022-09-27,NQX,2254.35,2300.48,2235.06,13201036541322.0,
2024-08-15,NQX,3898.03,3900.58,3847.96,23104044187364.0,4827364689.0
2023-05-25,NQX,2787.71,2797.37,2762.44,16136832234762.0,186531874.0
2018-06-15,NQX,1451.15,1453.77,1444.19,8273964033351.0,
2018-06-08,NQX,1430.52,1432.38,1420.15,8156356054125.0,
2025-05-28,NQX,4263.63,4301.62,4259.3,26335693014657.0,81105748.0
2025-05-29,NQX,4272.79,4322.31,4252.14,26392250121874.0,
2025-05-30,NQX,4268.2,4277.26,4206.51,26363889006012.0,2832026123.0
2025-05-27,NQX,4283.0,4285.86,4229.03,26455303642844.0,
2025-05-21,NQX,4216.07,4296.6,4200.42,26041911693992.0,
2022-07-27,NQX,2520.29,2532.14,2451.39,14828109038201.0,
2025-05-22,NQX,4222.49,4252.64,4209.24,26081582067137.0,1012943322.0
2025-05-23,NQX,4183.13,4205.11,4155.55,25838442265928.0,438183754.0
2025-04-01,NQX,3887.28,3893.72,3819.03,23832212505002.0,
2025-05-20,NQX,4273.47,4280.0,4245.33,26396479526562.0,154958670.0
2025-05-19,NQX,4289.41,4292.91,4227.57,26494912628449.0,664696002.0
2025-05-14,NQX,4263.84,4267.31,4239.97,26140811223133.0,283663999.0
2019-08-05,NQX,1483.14,1505.78,1471.25,8327562988470.0,
2019-07-18,NQX,1580.83,1582.47,1565.5,8876065725336.0,
2019-06-27,NQX,1531.41,1534.6,1527.34,8598599171690.0,632035784.0
2019-01-22,NQX,1329.36,1347.71,1320.69,7602525720910.0,
2021-12-02,NQX,3198.15,3213.26,3154.18,18492621897884.0,2260241586.0
2025-05-15,NQX,4267.16,4288.78,4233.63,26161185405666.0,4839701039.0
2022-04-05,NQX,2964.13,3024.13,2956.3,17511530200075.0,3575546387.0
2019-08-08,NQX,1544.97,1545.28,1515.36,8674715448107.0,58237868.0
2019-06-05,NQX,1444.18,1447.04,1429.29,8138126740434.0,783902070.0
2019-01-24,NQX,1340.51,1342.16,1331.3,7666273355751.0,
2025-05-16,NQX,4285.59,4285.75,4249.28,26274131398655.0,5310202924.0
2025-05-13,NQX,4239.54,4251.88,4178.24,25991823332461.0,
2025-05-12,NQX,4173.63,4174.06,4122.66,25587741601244.0,3895786587.0
2025-05-07,NQX,3973.59,3992.14,3921.02,24361362988528.0,
2025-05-08,NQX,4012.71,4049.96,3981.53,24601191656860.0,
2018-09-11,NQX,1501.57,1503.89,1480.34,8661691526143.0,513909354.0
2018-07-18,NQX,1478.03,1482.25,1473.67,8367587437701.0,
2022-11-17,NQX,2335.37,2347.52,2303.88,13675482135276.0,178524003.0
2025-05-09,NQX,4012.29,4040.72,3996.91,24598596614229.0,812224281.0
2022-02-02,NQX,3027.95,3039.39,2992.17,17895923863713.0,
2025-05-06,NQX,3958.27,3985.45,3931.87,24267405157682.0,372997909.0
2019-06-10,NQX,1500.39,1514.6,1493.63,8454849315870.0,98720544.0
2018-10-17,NQX,1455.73,1462.37,1441.15,8362828254837.0,
2018-06-04,NQX,1428.71,1429.35,1419.82,8146035218625.0,
2018-05-30,NQX,1395.27,1397.53,1387.61,7955368014415.0,313301825.0
2025-05-05,NQX,3993.59,4020.12,3979.86,24483942044312.0,
2025-04-30,NQX,3914.2,3922.56,3802.4,23997248779270.0,2027839049.0
2025-05-01,NQX,3957.34,4004.9,3952.59,24261720824145.0,
2018-08-17,NQX,1475.51,1479.0,1462.53,8511334466265.0,482948252.0
2025-05-02,NQX,4020.52,4035.32,3987.32,24649071728615.0,945195602.0
2025-04-29,NQX,3908.99,3916.55,3860.97,23965279342452.0,
2025-04-28,NQX,3885.46,3903.87,3832.49,23821013578189.0,283921577.0
2018-07-03,NQX,1402.91,1424.49,1401.94,7942340472220.0,
2025-04-24,NQX,3842.88,3844.94,3748.89,23559976975077.0,
2018-11-27,NQX,1340.21,1343.08,1321.82,7714158059491.0,
2018-08-08,NQX,1493.91,1497.23,1487.15,8617474071741.0,496800000.0
2025-04-25,NQX,3886.51,3889.51,3826.65,23827475359808.0,439494767.0
2025-04-23,NQX,3738.65,3808.6,3723.78,22920971991725.0,
2021-04-23,NQX,2788.29,2797.89,2757.89,15929107135306.0,195779645.0
2025-04-22,NQX,3655.28,3679.28,3598.65,22409844335094.0,
2025-04-21,NQX,3561.66,3608.62,3518.58,21835870604355.0,
2025-04-16,NQX,3651.53,3719.42,3599.19,22386837434331.0,
2024-06-28,NQX,3936.57,4003.54,3933.17,23274515977577.0,1347563519.0
2019-08-01,NQX,1560.23,1600.19,1553.8,8760416261612.0,29534750.0
2019-02-28,NQX,1419.51,1425.18,1416.38,8115225278363.0,1980908246.0
2019-02-04,NQX,1391.99,1392.19,1374.52,7960695062319.0,
2021-05-03,NQX,2759.94,2791.0,2756.93,15767177902924.0,178513610.0
2021-06-11,NQX,2799.66,2799.73,2786.8,15994069168878.0,
2021-09-22,NQX,3035.3,3046.07,3005.98,17550974510679.0,
