close,high,low,open,time,volume,date
409.0564,413.8157,407.1024,412.239,1603166400,442400.0,2020-10-20 04:00:00
407.6925,412.3647,407.3055,408.8533,1603252800,362000.0,2020-10-21 04:00:00
413.5545,415.3731,407.7119,407.9537,1603339200,408600.0,2020-10-22 04:00:00
414.5992,418.604,411.2716,416.9789,1603425600,270400.0,2020-10-23 04:00:00
404.2392,412.8775,400.4956,410.759,1603684800,473000.0,2020-10-26 04:00:00
381.71,392.486,377.2602,391.7702,1603771200,1415000.0,2020-10-27 04:00:00
355.4952,376.2735,353.5605,375.0837,1603857600,1514600.0,2020-10-28 04:00:00
358.697,363.6788,354.5955,354.5955,1603944000,936400.0,2020-10-29 04:00:00
359.2097,361.1347,351.0454,357.2944,1604030400,490500.0,2020-10-30 04:00:00
368.4962,369.4442,363.2629,365.3813,1604293200,752700.0,2020-11-02 05:00:00
370.8274,377.918,368.1189,373.1297,1604379600,623400.0,2020-11-03 05:00:00
376.051,384.5635,368.8153,374.2324,1604466000,733600.0,2020-11-04 05:00:00
373.3908,385.3954,373.0232,385.3954,1604552400,689600.0,2020-11-05 05:00:00
375.7318,378.8079,371.611,372.6557,1604638800,646100.0,2020-11-06 05:00:00
377.4633,403.62,377.1054,397.4871,1604898000,1047500.0,2020-11-09 05:00:00
387.8815,388.2587,377.502,377.502,1604984400,676900.0,2020-11-10 05:00:00
388.2393,393.5403,386.4014,390.6867,1605070800,545100.0,2020-11-11 05:00:00
377.8889,389.0423,373.5746,386.6046,1605157200,584400.0,2020-11-12 05:00:00
383.4413,384.6892,377.3568,380.4523,1605243600,546000.0,2020-11-13 05:00:00
394.5464,395.6492,383.4704,385.9661,1605502800,580300.0,2020-11-16 05:00:00
392.3989,397.371,388.191,389.7678,1605589200,584400.0,2020-11-17 05:00:00
395.0301,396.9841,387.3591,392.0313,1605675600,585500.0,2020-11-18 05:00:00
396.1038,397.6902,392.9987,393.7048,1605762000,441500.0,2020-11-19 05:00:00
392.0217,397.5742,390.3579,396.5005,1605848400,679500.0,2020-11-20 05:00:00
392.4666,396.4424,390.2418,395.475,1606107600,458400.0,2020-11-23 05:00:00
404.8582,406.1351,392.6698,396.5004,1606194000,484200.0,2020-11-24 05:00:00
404.8002,407.7022,403.3008,406.4253,1606280400,274900.0,2020-11-25 05:00:00
405.1194,407.4506,402.6914,406.7155,1606453200,257500.0,2020-11-27 05:00:00
413.0515,413.4385,404.3455,404.3455,1606712400,704400.0,2020-11-30 05:00:00
410.1495,418.9426,408.418,415.6343,1606798800,564600.0,2020-12-01 05:00:00
404.3552,409.9754,402.3238,409.9754,1606885200,351200.0,2020-12-02 05:00:00
395.8426,405.1774,394.8076,402.6139,1606971600,609800.0,2020-12-03 05:00:00
404.2972,404.2972,396.4328,396.4328,1607058000,529800.0,2020-12-04 05:00:00
405.2935,407.4313,399.9345,404.7035,1607317200,368000.0,2020-12-07 05:00:00
405.4483,409.3176,402.6334,402.6334,1607403600,357300.0,2020-12-08 05:00:00
405.8352,407.5474,400.3407,405.1194,1607490000,388800.0,2020-12-09 05:00:00
401.4435,406.3672,398.8413,406.3672,1607576400,440400.0,2020-12-10 05:00:00
406.7155,407.4604,399.3444,399.3444,1607662800,335200.0,2020-12-11 05:00:00
409.0758,418.8748,408.7856,408.7856,1607922000,460600.0,2020-12-14 05:00:00
