close,high,low,open,time,volume,date
40.1,40.53,39.96,40.25,1603166400,3429400.0,2020-10-20 04:00:00
40.045,40.34,39.705,39.935,1603252800,2382000.0,2020-10-21 04:00:00
40.28,40.39,39.67,40.21,1603339200,2338800.0,2020-10-22 04:00:00
40.195,40.645,40.025,40.43,1603425600,3008400.0,2020-10-23 04:00:00
39.425,40.135,39.035,39.675,1603684800,3101600.0,2020-10-26 04:00:00
40.195,40.54,39.665,39.895,1603771200,3812200.0,2020-10-27 04:00:00
38.685,39.57,38.625,39.355,1603857600,4345200.0,2020-10-28 04:00:00
38.77,39.255,38.27,38.535,1603944000,3060600.0,2020-10-29 04:00:00
38.285,38.61,37.725,38.415,1604030400,6512000.0,2020-10-30 04:00:00
38.96,39.175,38.46,38.92,1604293200,3053200.0,2020-11-02 05:00:00
39.76,40.265,39.025,40.175,1604379600,11307600.0,2020-11-03 05:00:00
41.36,41.71,40.205,40.45,1604466000,5447000.0,2020-11-04 05:00:00
41.84,42.345,41.32,42.02,1604552400,5788400.0,2020-11-05 05:00:00
41.63,42.29,41.32,42.245,1604638800,4282800.0,2020-11-06 05:00:00
40.675,44.205,40.45,43.905,1604898000,6738200.0,2020-11-09 05:00:00
40.79,41.38,40.255,40.48,1604984400,5245400.0,2020-11-10 05:00:00
42.25,42.39,40.765,40.875,1605070800,4651600.0,2020-11-11 05:00:00
41.48,42.395,41.195,42.25,1605157200,2897200.0,2020-11-12 05:00:00
42.01,42.06,41.44,41.715,1605243600,3730600.0,2020-11-13 05:00:00
41.79,42.665,41.61,41.99,1605502800,4823200.0,2020-11-16 05:00:00
42.77,42.935,41.99,42.42,1605589200,4410400.0,2020-11-17 05:00:00
42.11,43.015,42.06,42.465,1605675600,3784400.0,2020-11-18 05:00:00
41.865,42.095,41.425,41.69,1605762000,3606000.0,2020-11-19 05:00:00
41.76,42.195,41.72,41.805,1605848400,3064600.0,2020-11-20 05:00:00
42.035,42.355,41.635,41.965,1606107600,4277000.0,2020-11-23 05:00:00
42.095,42.495,41.755,42.15,1606194000,2869000.0,2020-11-24 05:00:00
42.04,42.47,41.92,42.285,1606280400,1889000.0,2020-11-25 05:00:00
42.075,42.57,41.95,42.24,1606453200,2232400.0,2020-11-27 05:00:00
42.39,42.425,41.64,42.1,1606712400,5309000.0,2020-11-30 05:00:00
43.34,43.515,42.49,42.74,1606798800,4998400.0,2020-12-01 05:00:00
43.13,44.23,42.91,43.92,1606885200,3482400.0,2020-12-02 05:00:00
43.26,43.385,42.78,42.865,1606971600,4931000.0,2020-12-03 05:00:00
43.72,43.805,43.065,43.07,1607058000,3642600.0,2020-12-04 05:00:00
43.585,43.88,43.335,43.475,1607317200,2626000.0,2020-12-07 05:00:00
44.1,44.445,43.405,43.93,1607403600,4275600.0,2020-12-08 05:00:00
43.95,44.35,43.735,44.2,1607490000,2969400.0,2020-12-09 05:00:00
44.015,44.31,43.755,44.275,1607576400,2506600.0,2020-12-10 05:00:00
44.01,44.11,43.515,43.775,1607662800,3817000.0,2020-12-11 05:00:00
44.21,44.745,44.05,44.14,1607922000,3382600.0,2020-12-14 05:00:00
44.29,44.58,44.085,44.49,1608008400,3515000.0,2020-12-15 05:00:00
44.9,44.97,44.28,44.375,1608094800,2729200.0,2020-12-16 05:00:00
45.07,45.225,44.76,44.99,1608181200,2740400.0,2020-12-17 05:00:00
45.065,45.355,44.54,45.355,1608267600,8386600.0,2020-12-18 05:00:00
44.485,44.725,43.655,44.425,1608526800,3013400.0,2020-12-21 05:00:00
44.135,44.415,43.99,44.305,1608613200,3033000.0,2020-12-22 05:00:00
44.47,44.75,44.1,44.14,1608699600,2832000.0,2020-12-23 05:00:00
44.905,45.01,44.495,44.5,1608786000,922800.0,2020-12-24 05:00:00
45.405,45.455,45.105,45.18,1609131600,1725200.0,2020-12-28 05:00:00
45.52,45.72,45.255,45.6,1609218000,1764800.0,2020-12-29 05:00:00
45.73,45.84,45.53,45.53,1609304400,1574200.0,2020-12-30 05:00:00
46.24,46.27,45.535,45.76,1609390800,2388000.0,2020-12-31 05:00:00
45.3,46.275,44.4,46.255,1609736400,6013200.0,2021-01-04 05:00:00
45.71,45.83,44.725,44.945,1609822800,5060200.0,2021-01-05 05:00:00
45.35,45.7,45.045,45.53,1609909200,7577800.0,2021-01-06 05:00:00
46.75,46.8,45.135,45.285,1609995600,6040800.0,2021-01-07 05:00:00
47.495,47.53,46.475,46.89,1610082000,6277600.0,2021-01-08 05:00:00
46.47,47.555,46.27,47.43,1610341200,3017600.0,2021-01-11 05:00:00
46.995,47.215,46.305,46.63,1610427600,5388400.0,2021-01-12 05:00:00
45.935,47.08,45.905,47.0,1610514000,6745200.0,2021-01-13 05:00:00
45.68,46.34,45.265,45.86,1610600400,4772200.0,2021-01-14 05:00:00
45.825,46.25,44.86,45.15,1610686800,6141400.0,2021-01-15 05:00:00
45.04,46.495,45.01,46.17,1611032400,4727000.0,2021-01-19 05:00:00
44.805,45.235,44.645,45.065,1611118800,3974400.0,2021-01-20 05:00:00
44.6,44.845,44.31,44.805,1611205200,2556000.0,2021-01-21 05:00:00
44.1,44.7,44.04,44.555,1611291600,2393400.0,2021-01-22 05:00:00
44.23,44.7,44.055,44.28,1611550800,3477600.0,2021-01-25 05:00:00
44.4,44.87,44.14,44.15,1611637200,2875200.0,2021-01-26 05:00:00
42.965,44.265,42.68,44.015,1611723600,7168600.0,2021-01-27 05:00:00
