close,high,low,open,time,volume,date
129.0775,130.2841,128.1019,129.899,1603166400,3916100.0,2020-10-20 04:00:00
125.0553,127.9051,123.7973,127.597,1603252800,6700600.0,2020-10-21 04:00:00
126.8439,127.4087,124.7986,125.6458,1603339200,3167200.0,2020-10-22 04:00:00
128.3329,128.3672,126.9295,127.015,1603425600,3509100.0,2020-10-23 04:00:00
124.9013,127.0835,123.4208,126.8268,1603684800,4290700.0,2020-10-26 04:00:00
125.9025,126.938,125.4147,126.339,1603771200,4102400.0,2020-10-27 04:00:00
122.3767,124.8243,121.3156,123.8315,1603857600,7413600.0,2020-10-28 04:00:00
126.0054,126.9708,121.8164,122.1267,1603944000,5600400.0,2020-10-29 04:00:00
124.6263,125.7985,122.8507,124.9797,1604030400,5427000.0,2020-10-30 04:00:00
125.4969,126.6174,124.3075,126.2382,1604293200,3756600.0,2020-11-02 05:00:00
126.9622,128.074,126.4105,126.5829,1604379600,3588600.0,2020-11-03 05:00:00
131.0391,132.3061,127.9448,129.9789,1604466000,5015300.0,2020-11-04 05:00:00
134.0817,134.7196,132.8664,133.4611,1604552400,4638100.0,2020-11-05 05:00:00
135.9607,136.3658,133.5473,134.504,1604638800,4217700.0,2020-11-06 05:00:00
134.6506,141.8994,134.5127,139.6326,1604898000,5308600.0,2020-11-09 05:00:00
130.5737,134.7627,130.1686,133.9266,1604984400,5697900.0,2020-11-10 05:00:00
134.2024,134.4092,132.4268,133.5473,1605070800,3497200.0,2020-11-11 05:00:00
133.1681,135.2626,132.4441,134.4782,1605157200,2607100.0,2020-11-12 05:00:00
135.0213,136.1676,133.737,135.0126,1605243600,2439800.0,2020-11-13 05:00:00
136.452,137.3829,134.9953,135.5556,1605502800,3456500.0,2020-11-16 05:00:00
134.03,136.452,133.7541,135.659,1605589200,3526700.0,2020-11-17 05:00:00
132.3492,134.754,132.2286,134.2369,1605675600,2998400.0,2020-11-18 05:00:00
135.5556,135.6935,131.6252,131.9786,1605762000,2465300.0,2020-11-19 05:00:00
135.1677,136.8312,134.935,135.5987,1605848400,3013000.0,2020-11-20 05:00:00
135.6849,136.7968,133.7197,135.2367,1606107600,2803000.0,2020-11-23 05:00:00
137.3484,137.4432,135.0557,136.7192,1606194000,4962800.0,2020-11-24 05:00:00
135.8401,137.9259,135.547,137.5208,1606280400,3543700.0,2020-11-25 05:00:00
137.0381,138.1586,136.8571,137.3743,1606453200,3084400.0,2020-11-27 05:00:00
138.9861,139.2102,135.9435,137.245,1606712400,4845200.0,2020-11-30 05:00:00
140.9168,141.6408,139.3136,140.1756,1606798800,4894400.0,2020-12-01 05:00:00
140.2531,140.9858,139.4774,140.3135,1606885200,4212300.0,2020-12-02 05:00:00
139.6153,141.8391,139.2878,140.6324,1606971600,4778600.0,2020-12-03 05:00:00
143.5284,143.5974,140.0807,140.5031,1607058000,3741600.0,2020-12-04 05:00:00
143.3302,143.4681,142.4252,143.3992,1607317200,4645300.0,2020-12-07 05:00:00
143.6664,144.1491,142.2183,143.3388,1607403600,3259900.0,2020-12-08 05:00:00
140.2876,143.4854,139.5981,142.046,1607490000,5593900.0,2020-12-09 05:00:00
139.6326,140.3824,138.581,139.7705,1607576400,5597300.0,2020-12-10 05:00:00
138.4345,139.5895,137.5898,138.4345,1607662800,4145800.0,2020-12-11 05:00:00
138.0121,140.279,137.9001,139.1585,1607922000,5994200.0,2020-12-14 05:00:00
139.9601,140.2618,138.9517,139.6498,1608008400,5732100.0,2020-12-15 05:00:00
139.736,140.8048,138.7016,140.4428,1608094800,3147900.0,2020-12-16 05:00:00
140.2273,140.5031,139.124,140.4169,1608181200,5253400.0,2020-12-17 05:00:00
141.4168,141.8822,139.7188,140.8134,1608267600,7072600.0,2020-12-18 05:00:00
140.0032,140.3221,137.5294,139.2447,1608526800,3077300.0,2020-12-21 05:00:00
140.0807,140.891,139.6843,139.7963,1608613200,2640900.0,2020-12-22 05:00:00
138.7534,140.6927,138.6068,139.8049,1608699600,2012400.0,2020-12-23 05:00:00
139.3222,139.5032,138.3224,138.5293,1608786000,1044400.0,2020-12-24 05:00:00
139.1757,141.1495,138.7706,141.1495,1609131600,2139300.0,2020-12-28 05:00:00
138.9258,140.2186,138.4,139.5981,1609218000,2433700.0,2020-12-29 05:00:00
140.2359,140.6065,139.4257,139.5377,1609304400,2213800.0,2020-12-30 05:00:00
141.4685,141.6926,139.5377,140.3824,1609390800,2906200.0,2020-12-31 05:00:00
139.8221,144.6662,138.5637,141.8735,1609736400,4659900.0,2021-01-04 05:00:00
140.8479,140.9513,139.0119,139.3739,1609822800,4734100.0,2021-01-05 05:00:00
141.546,144.33,139.6929,139.8911,1609909200,5254400.0,2021-01-06 05:00:00
144.7524,145.4075,142.0632,142.5028,1609995600,5673600.0,2021-01-07 05:00:00
147.5278,148.8983,145.5454,147.4933,1610082000,4556500.0,2021-01-08 05:00:00
147.6571,148.2863,145.7867,146.7349,1610341200,4553100.0,2021-01-11 05:00:00
148.5104,149.6826,147.3641,147.6399,1610427600,3406600.0,2021-01-12 05:00:00
147.7433,148.9845,147.2778,148.5018,1610514000,2953900.0,2021-01-13 05:00:00
148.0019,148.7173,146.8297,147.4761,1610600400,3416300.0,2021-01-14 05:00:00
145.8298,147.4675,144.4335,147.3727,1610686800,3734600.0,2021-01-15 05:00:00
150.1395,150.579,147.5537,147.5537,1611032400,6277800.0,2021-01-19 05:00:00
149.3982,150.9928,148.9328,150.6997,1611118800,4329500.0,2021-01-20 05:00:00
150.9238,151.2427,148.3466,150.3377,1611205200,3583900.0,2021-01-21 05:00:00
148.95,151.2255,148.8983,150.398,1611291600,3736800.0,2021-01-22 05:00:00
149.0448,150.467,147.1141,149.4327,1611550800,5401900.0,2021-01-25 05:00:00
147.795,150.217,147.6485,148.3122,1611637200,5341900.0,2021-01-26 05:00:00
140.4341,144.4766,139.667,143.4681,1611723600,10011200.0,2021-01-27 05:00:00
145.8643,147.4761,142.339,144.7007,1611810000,6796600.0,2021-01-28 05:00:00
143.6791,145.6822,142.2309,144.5115,1611896400,5969800.0,2021-01-29 05:00:00
149.5497,150.0179,144.8324,145.1272,1612155600,5715600.0,2021-02-01 05:00:00
151.5355,152.3593,149.1594,150.0613,1612242000,4861200.0,2021-02-02 05:00:00
146.1851,151.9777,146.1157,151.5615,1612328400,5019200.0,2021-02-03 05:00:00
149.1508,149.2549,145.7342,147.3818,1612414800,3519800.0,2021-02-04 05:00:00
147.3558,150.174,145.7342,149.8445,1612501200,4045000.0,2021-02-05 05:00:00
151.8563,152.0905,148.1449,148.5785,1612760400,4597600.0,2021-02-08 05:00:00
150.6163,151.943,150.3041,151.3187,1612846800,2777700.0,2021-02-09 05:00:00
151.1973,152.7408,149.6884,151.9257,1612933200,3414600.0,2021-02-10 05:00:00
155.4117,155.7845,152.1338,152.6194,1613019600,4776000.0,2021-02-11 05:00:00
155.7758,156.0013,153.7727,154.3537,1613106000,2532500.0,2021-02-12 05:00:00
156.7471,157.6489,155.0821,156.088,1613451600,3887600.0,2021-02-16 05:00:00
154.8133,156.2702,152.9316,154.6312,1613538000,4315100.0,2021-02-17 05:00:00
153.0617,153.9375,151.0585,153.8594,1613624400,4195100.0,2021-02-18 05:00:00
154.6573,155.7152,153.1744,154.2324,1613710800,4248500.0,2021-02-19 05:00:00
